"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"060710071081","Block Group 1, Census Tract 71.08, San Bernardino County, California","2138","232"
"060710026043","Block Group 3, Census Tract 26.04, San Bernardino County, California","938","311"
"060710038032","Block Group 2, Census Tract 38.03, San Bernardino County, California","2738","478"
"060710005013","Block Group 3, Census Tract 5.01, San Bernardino County, California","1423","302"
"060710008183","Block Group 3, Census Tract 8.18, San Bernardino County, California","1727","416"
"060710061001","Block Group 1, Census Tract 61, San Bernardino County, California","652","374"
"060710016001","Block Group 1, Census Tract 16, San Bernardino County, California","1066","345"
"060710004013","Block Group 3, Census Tract 4.01, San Bernardino County, California","2224","691"
"060710003042","Block Group 2, Census Tract 3.04, San Bernardino County, California","1899","363"
"060710100213","Block Group 3, Census Tract 100.21, San Bernardino County, California","2646","713"
"060710107003","Block Group 3, Census Tract 107, San Bernardino County, California","1598","371"
"060710104242","Block Group 2, Census Tract 104.24, San Bernardino County, California","1307","211"
"060710098001","Block Group 1, Census Tract 98, San Bernardino County, California","936","315"
"060710015032","Block Group 2, Census Tract 15.03, San Bernardino County, California","2019","279"
"060710087045","Block Group 5, Census Tract 87.04, San Bernardino County, California","1363","575"
"060710110013","Block Group 3, Census Tract 110.01, San Bernardino County, California","835","250"
"060710074103","Block Group 3, Census Tract 74.10, San Bernardino County, California","2794","781"
"060710042012","Block Group 2, Census Tract 42.01, San Bernardino County, California","1450","605"
"060710026073","Block Group 3, Census Tract 26.07, San Bernardino County, California","1956","507"
"060710036031","Block Group 1, Census Tract 36.03, San Bernardino County, California","1726","320"
"060710091092","Block Group 2, Census Tract 91.09, San Bernardino County, California","1025","382"
"060710104202","Block Group 2, Census Tract 104.20, San Bernardino County, California","1495","277"
"060710046015","Block Group 5, Census Tract 46.01, San Bernardino County, California","1133","363"
"060710071064","Block Group 4, Census Tract 71.06, San Bernardino County, California","1324","295"
"060710104192","Block Group 2, Census Tract 104.19, San Bernardino County, California","860","394"
"060710030001","Block Group 1, Census Tract 30, San Bernardino County, California","1686","406"
"060710001071","Block Group 1, Census Tract 1.07, San Bernardino County, California","2942","147"
"060710100241","Block Group 1, Census Tract 100.24, San Bernardino County, California","887","327"
"060710091183","Block Group 3, Census Tract 91.18, San Bernardino County, California","12255","2299"
"060710054002","Block Group 2, Census Tract 54, San Bernardino County, California","1248","442"
"060710049002","Block Group 2, Census Tract 49, San Bernardino County, California","2194","488"
"060710125003","Block Group 3, Census Tract 125, San Bernardino County, California","1356","762"
"060719401002","Block Group 2, Census Tract 9401, San Bernardino County, California","865","120"
"060710023054","Block Group 4, Census Tract 23.05, San Bernardino County, California","2580","609"
"060710008143","Block Group 3, Census Tract 8.14, San Bernardino County, California","894","227"
"060710046043","Block Group 3, Census Tract 46.04, San Bernardino County, California","1642","458"
"060710020112","Block Group 2, Census Tract 20.11, San Bernardino County, California","1475","288"
"060710021012","Block Group 2, Census Tract 21.01, San Bernardino County, California","2087","474"
"060710100103","Block Group 3, Census Tract 100.10, San Bernardino County, California","1695","404"
"060710008152","Block Group 2, Census Tract 8.15, San Bernardino County, California","1885","237"
"060710013093","Block Group 3, Census Tract 13.09, San Bernardino County, California","1466","478"
"060710085004","Block Group 4, Census Tract 85, San Bernardino County, California","1893","357"
"060710045091","Block Group 1, Census Tract 45.09, San Bernardino County, California","1470","385"
"060710084024","Block Group 4, Census Tract 84.02, San Bernardino County, California","1974","464"
"060710013102","Block Group 2, Census Tract 13.10, San Bernardino County, California","1605","371"
"060710008041","Block Group 1, Census Tract 8.04, San Bernardino County, California","1241","394"
"060710114014","Block Group 4, Census Tract 114.01, San Bernardino County, California","1585","575"
"060710001041","Block Group 1, Census Tract 1.04, San Bernardino County, California","3269","469"
"060710104122","Block Group 2, Census Tract 104.12, San Bernardino County, California","1127","416"
"060710013122","Block Group 2, Census Tract 13.12, San Bernardino County, California","3272","683"
"060710108033","Block Group 3, Census Tract 108.03, San Bernardino County, California","1092","392"
"060710074043","Block Group 3, Census Tract 74.04, San Bernardino County, California","747","223"
"060710004042","Block Group 2, Census Tract 4.04, San Bernardino County, California","1901","339"
"060710066031","Block Group 1, Census Tract 66.03, San Bernardino County, California","2627","625"
"060710026063","Block Group 3, Census Tract 26.06, San Bernardino County, California","2722","540"
"060710061003","Block Group 3, Census Tract 61, San Bernardino County, California","2751","823"
"060710100192","Block Group 2, Census Tract 100.19, San Bernardino County, California","2314","450"
"060710091071","Block Group 1, Census Tract 91.07, San Bernardino County, California","3232","743"
"060710070003","Block Group 3, Census Tract 70, San Bernardino County, California","2249","532"
"060710033013","Block Group 3, Census Tract 33.01, San Bernardino County, California","1622","359"
"060710001043","Block Group 3, Census Tract 1.04, San Bernardino County, California","2005","367"
"060710104113","Block Group 3, Census Tract 104.11, San Bernardino County, California","1402","389"
"060710099051","Block Group 1, Census Tract 99.05, San Bernardino County, California","3281","902"
"060710097112","Block Group 2, Census Tract 97.11, San Bernardino County, California","2610","510"
"060710028031","Block Group 1, Census Tract 28.03, San Bernardino County, California","1825","282"
"060710110021","Block Group 1, Census Tract 110.02, San Bernardino County, California","942","169"
"060710028033","Block Group 3, Census Tract 28.03, San Bernardino County, California","1074","209"
"060710018092","Block Group 2, Census Tract 18.09, San Bernardino County, California","2409","395"
"060710023072","Block Group 2, Census Tract 23.07, San Bernardino County, California","2693","435"
"060710024024","Block Group 4, Census Tract 24.02, San Bernardino County, California","1883","506"
"060710097141","Block Group 1, Census Tract 97.14, San Bernardino County, California","985","302"
"060710011032","Block Group 2, Census Tract 11.03, San Bernardino County, California","1414","325"
"060710108023","Block Group 3, Census Tract 108.02, San Bernardino County, California","831","402"
"060710027032","Block Group 2, Census Tract 27.03, San Bernardino County, California","1677","444"
"060710002053","Block Group 3, Census Tract 2.05, San Bernardino County, California","1379","470"
"060710041041","Block Group 1, Census Tract 41.04, San Bernardino County, California","3732","682"
"060710045073","Block Group 3, Census Tract 45.07, San Bernardino County, California","2220","690"
"060710025021","Block Group 1, Census Tract 25.02, San Bernardino County, California","2645","701"
"060710035032","Block Group 2, Census Tract 35.03, San Bernardino County, California","2341","513"
"060710026062","Block Group 2, Census Tract 26.06, San Bernardino County, California","2163","466"
"060710083013","Block Group 3, Census Tract 83.01, San Bernardino County, California","1319","369"
"060710066032","Block Group 2, Census Tract 66.03, San Bernardino County, California","3369","476"
"060710104111","Block Group 1, Census Tract 104.11, San Bernardino County, California","757","299"
"060710001135","Block Group 5, Census Tract 1.13, San Bernardino County, California","3406","944"
"060710109022","Block Group 2, Census Tract 109.02, San Bernardino County, California","291","144"
"060710095003","Block Group 3, Census Tract 95, San Bernardino County, California","1494","578"
"060710043021","Block Group 1, Census Tract 43.02, San Bernardino County, California","1266","371"
"060710034031","Block Group 1, Census Tract 34.03, San Bernardino County, California","876","449"
"060710097172","Block Group 2, Census Tract 97.17, San Bernardino County, California","2864","526"
"060710072001","Block Group 1, Census Tract 72, San Bernardino County, California","1872","494"
"060710087042","Block Group 2, Census Tract 87.04, San Bernardino County, California","1598","515"
"060710021051","Block Group 1, Census Tract 21.05, San Bernardino County, California","2368","409"
"060719802001","Block Group 1, Census Tract 9802, San Bernardino County, California","3900","601"
"060710001032","Block Group 2, Census Tract 1.03, San Bernardino County, California","1070","222"
"060710104172","Block Group 2, Census Tract 104.17, San Bernardino County, California","862","188"
"060710036063","Block Group 3, Census Tract 36.06, San Bernardino County, California","2555","537"
"060710040012","Block Group 2, Census Tract 40.01, San Bernardino County, California","1822","382"
"060710112041","Block Group 1, Census Tract 112.04, San Bernardino County, California","423","212"
"060710055002","Block Group 2, Census Tract 55, San Bernardino County, California","1743","668"
"060710109021","Block Group 1, Census Tract 109.02, San Bernardino County, California","558","289"
"060710005033","Block Group 3, Census Tract 5.03, San Bernardino County, California","1614","326"
"060710045031","Block Group 1, Census Tract 45.03, San Bernardino County, California","2328","422"
"060710062012","Block Group 2, Census Tract 62.01, San Bernardino County, California","1160","488"
"060710091161","Block Group 1, Census Tract 91.16, San Bernardino County, California","825","349"
"060710011033","Block Group 3, Census Tract 11.03, San Bernardino County, California","1481","390"
"060710067003","Block Group 3, Census Tract 67, San Bernardino County, California","954","390"
"060710091181","Block Group 1, Census Tract 91.18, San Bernardino County, California","2271","831"
"060710029011","Block Group 1, Census Tract 29.01, San Bernardino County, California","1283","510"
"060710103003","Block Group 3, Census Tract 103, San Bernardino County, California","858","351"
"060710034052","Block Group 2, Census Tract 34.05, San Bernardino County, California","1301","333"
"060710004041","Block Group 1, Census Tract 4.04, San Bernardino County, California","2048","412"
"060710079013","Block Group 3, Census Tract 79.01, San Bernardino County, California","1404","332"
"060710036092","Block Group 2, Census Tract 36.09, San Bernardino County, California","1624","366"
"060710120024","Block Group 4, Census Tract 120.02, San Bernardino County, California","3255","396"
"060710091162","Block Group 2, Census Tract 91.16, San Bernardino County, California","1451","430"
"060710100261","Block Group 1, Census Tract 100.26, San Bernardino County, California","6750","1184"
"060710029023","Block Group 3, Census Tract 29.02, San Bernardino County, California","1231","370"
"060710021101","Block Group 1, Census Tract 21.10, San Bernardino County, California","7092","615"
"060710100043","Block Group 3, Census Tract 100.04, San Bernardino County, California","1031","549"
"060710121042","Block Group 2, Census Tract 121.04, San Bernardino County, California","2730","456"
"060710062032","Block Group 2, Census Tract 62.03, San Bernardino County, California","2463","465"
"060710097113","Block Group 3, Census Tract 97.11, San Bernardino County, California","1522","480"
"060710034041","Block Group 1, Census Tract 34.04, San Bernardino County, California","2114","427"
"060710087093","Block Group 3, Census Tract 87.09, San Bernardino County, California","872","282"
"060710108032","Block Group 2, Census Tract 108.03, San Bernardino County, California","518","182"
